car_id,reg,manufacturer,model,SIPP,max_seat,Width,Length,spd,MPG,OnHire
1,BD61 SLU,HONDA,CR-V,SFDR,5,1780,4510,130.0,39.0,True
2,CA51 MBE,CHEVROLET,CORVETTE,JTAV,2,1877,1234,194.0,24.0,True
3,PC14 RSN,FORD,F-150,PQBD,5,2121,5890,155.0,20.0,True
4,MB19 ORE,HONDA,ACCORD,FDAR,5,1849,4933,125.0,47.3,True
5,BD68 NAP,HONDA,ACCORD,FDAV,5,1849,4933,171.0,37.7,False
6,LY51 BED,Isuzu,NQR,OKAD,3,2065,5220,114.0,11.9,True
7,LJ08 NOD,HONDA,CIVIC,SDAR,5,1877,4648,125.0,31.0,True
9,GK63 SLE,FORD,ESCAPE,SDMR,5,1806,4457,209.0,23.0,True
10,GW66 EPY,FORD,TAURUS,FCAR,5,1935,5154,143.0,20.0,False
11,YE02 FOU,TOYOTA,CELICA,IDAR,5,1778,2700,140.0,30.0,False
